Date : 2024-07-23 11:28:27
Directory : /Users/yuwenjun/git_repo/code-train
Total : 594 files,  349092 codes, 19756 comments, 40780 blanks, all 409628 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/train-text-from-scratch/convert-train-checkpoint-to-gguf.py                  | Python           |        415 |         13 |         72 |        500 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/train-text-from-scratch/train-text-from-scratch.cpp                          | C++              |      1,018 |         48 |        188 |      1,254 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/examples/ts-type-to-grammar.sh                                                        | Shell Script     |         10 |         11 |          8 |         29 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/cmake/FindSIMD.cmake                                                             | CMake            |         90 |          0 |         11 |        101 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/ggml_vk_generate_shaders.py                                                      | Python           |        146 |         10 |         65 |        221 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-alloc.h                                                             | C++              |         33 |         29 |         15 |         77 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-backend.h                                                           | C++              |        111 |         77 |         49 |        237 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-blas.h                                                              | C++              |         12 |          3 |          9 |         24 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-cuda.h                                                              | C++              |         28 |          4 |         13 |         45 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-kompute.h                                                           | C++              |         31 |          4 |         12 |         47 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-metal.h                                                             | C++              |         22 |         27 |         18 |         67 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-rpc.h                                                               | C++              |         15 |          1 |          9 |         25 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-sycl.h                                                              | C++              |         20 |         12 |         11 |         43 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml-vulkan.h                                                            | C++              |         19 |          2 |          9 |         30 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/include/ggml.h                                                                   | C++              |      1,614 |        444 |        370 |      2,428 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-alloc.c                                                                 | C                |        835 |         63 |        144 |      1,042 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-backend-impl.h                                                          | C++              |         83 |         37 |         34 |        154 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-backend.c                                                               | C                |      1,724 |        113 |        389 |      2,226 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-blas.cpp                                                                | C++              |        263 |         30 |         71 |        364 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-common.h                                                                | C++              |      1,671 |         43 |         92 |      1,806 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda.cu                                                                 | CUDA C++         |      2,376 |        142 |        528 |      3,046 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/acc.cu                                                             | CUDA C++         |         40 |          1 |          7 |         48 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/acc.cuh                                                            | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/arange.cu                                                          | CUDA C++         |         26 |          1 |          8 |         35 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/arange.cuh                                                         | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/argsort.cu                                                         | CUDA C++         |         81 |          5 |         19 |        105 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/argsort.cuh                                                        | CUDA C++         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/binbcast.cu                                                        | CUDA C++         |        222 |          6 |         53 |        281 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/binbcast.cuh                                                       | CUDA C++         |          5 |          0 |          2 |          7 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/clamp.cu                                                           | CUDA C++         |         25 |          0 |         10 |         35 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/clamp.cuh                                                          | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/common.cuh                                                         | CUDA C++         |        696 |          7 |        119 |        822 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/concat.cu                                                          | CUDA C++         |        169 |          2 |         26 |        197 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/concat.cuh                                                         | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/convert.cu                                                         | CUDA C++         |        563 |          7 |        117 |        687 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/convert.cuh                                                        | CUDA C++         |          8 |          0 |          6 |         14 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/cpy.cu                                                             | CUDA C++         |        385 |          4 |        102 |        491 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/cpy.cuh                                                            | CUDA C++         |          5 |          0 |          5 |         10 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/dequantize.cuh                                                     | CUDA C++         |         77 |          0 |         27 |        104 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/diagmask.cu                                                        | CUDA C++         |         29 |          2 |         10 |         41 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/diagmask.cuh                                                       | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/dmmv.cu                                                            | CUDA C++         |        524 |         16 |        135 |        675 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/dmmv.cuh                                                           | CUDA C++         |         12 |          2 |          5 |         19 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-common.cuh                                                   | CUDA C++         |        594 |          0 |        148 |        742 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-tile-f16.cu                                                  | CUDA C++         |        255 |          3 |         62 |        320 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-tile-f16.cuh                                                 | CUDA C++         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-tile-f32.cu                                                  | CUDA C++         |        251 |          3 |         59 |        313 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-tile-f32.cuh                                                 | CUDA C++         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-vec-f16.cuh                                                  | CUDA C++         |        321 |          8 |         69 |        398 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-vec-f32.cuh                                                  | CUDA C++         |        306 |          5 |         64 |        375 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn-wmma-f16.cuh                                                 | CUDA C++         |        407 |         14 |         70 |        491 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn.cu                                                           | CUDA C++         |        302 |          4 |         40 |        346 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/fattn.cuh                                                          | CUDA C++         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/getrows.cu                                                         | CUDA C++         |        135 |          8 |         36 |        179 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/getrows.cuh                                                        | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/im2col.cu                                                          | CUDA C++         |         84 |          0 |         21 |        105 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/im2col.cuh                                                         | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/mma.cuh                                                            | CUDA C++         |        189 |          2 |         27 |        218 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/mmq.cu                                                             | CUDA C++         |         96 |          2 |         21 |        119 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/mmq.cuh                                                            | CUDA C++         |      2,053 |         13 |        545 |      2,611 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/mmvq.cu                                                            | CUDA C++         |        345 |          6 |         69 |        420 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/mmvq.cuh                                                           | CUDA C++         |          7 |          0 |          3 |         10 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/norm.cu                                                            | CUDA C++         |        176 |          4 |         42 |        222 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/norm.cuh                                                           | CUDA C++         |          4 |          0 |          4 |          8 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/pad.cu                                                             | CUDA C++         |         39 |          4 |          7 |         50 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/pad.cuh                                                            | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/pool2d.cu                                                          | CUDA C++         |         81 |          0 |         14 |         95 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/pool2d.cuh                                                         | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/quantize.cu                                                        | CUDA C++         |         80 |          0 |         33 |        113 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/quantize.cuh                                                       | CUDA C++         |         14 |          0 |          7 |         21 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/rope.cu                                                            | CUDA C++         |        206 |          8 |         58 |        272 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/rope.cuh                                                           | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/scale.cu                                                           | CUDA C++         |         23 |          0 |          9 |         32 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/scale.cuh                                                          | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/softmax.cu                                                         | CUDA C++         |        158 |          4 |         45 |        207 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/softmax.cuh                                                        | CUDA C++         |          3 |          0 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/sumrows.cu                                                         | CUDA C++         |         30 |          0 |         11 |         41 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/sumrows.cuh                                                        | CUDA C++         |          2 |          0 |          2 |          4 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-f16.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-q4_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-q4_1.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-q5_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-q5_1.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-f16-q8_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_0-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q4_1-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_0-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q5_1-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs128-q8_0-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs256-f16-f16.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-f16.cu          | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-q4_0.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-q4_1.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-q5_0.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-q5_1.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f16-instance-hs64-f16-q8_0.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-f16.cu         | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-q4_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-q4_1.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-q5_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-q5_1.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-f16-q8_0.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_0-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q4_1-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_0-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-f16.cu        | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-q4_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-q4_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-q5_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-q5_1.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
| /Users/yuwenjun/git_repo/code-train/code/llama.cpp/ggml/src/ggml-cuda/template-instances/fattn-vec-f32-instance-hs128-q5_1-q8_0.cu       | CUDA C++         |          2 |          1 |          3 |          6 |
